System trademark and model                   	MW41
Software version                             	MW41 2.4.0
NATO format sounding ID                      	202101150106-FY
Balloon release date                         	15/01/21
Balloon release time                         	13:06:04
Release point latitude                       	22.59797°N
Release point longitude                      	101.11654°E
Release point ellipsoid height               	1697 m
Release point height from sea level          	1693 m
Surface pressure                             	828.6 hPa
Surface temperature                          	12.0 °C
Surface relative humidity                    	84 %
Surface wind speed                           	1.0 m/s
Surface wind direction                       	152°
Sonde type                                   	RS92-SGP
Sonde serial number                          	M2213440
Comments                                     	


   n Elapsed time    Pm  Temp RH Ncomp Ecomp HeightMSL  Dewp MixR Dir Speed CompAz CompRng    Lat     Lon HeightE
                s   hPa    °C  %   m/s   m/s         m    °C g/kg   °   m/s      °       m      °       °       m
  52          102 796.7   9.9 85   3.9   1.7      2021   7.4 8.13 204   4.3     16     463 22.602 101.118    1941
  53          104 796.2   9.8 85   3.8   1.8      2026   7.4 8.14 205   4.2     16     474 22.602 101.118    1946
  54          106 795.7   9.8 85   3.8   1.9      2032   7.4 8.16 206   4.2     17     483 22.602 101.118    1951
  55          108 795.2   9.7 85   3.8   1.9      2037   7.4 8.17 207   4.2     17     490 22.602 101.118    1956
  56          110 794.7   9.7 85   3.8   2.0      2042   7.4 8.16 208   4.2     17     497 22.602 101.118    1961
  57          112 794.2   9.7 85   3.7   2.0      2047   7.4 8.14 209   4.3     17     505 22.602 101.118    1967
  58          114 793.7   9.8 85   3.7   2.1      2053   7.3 8.12 209   4.3     17     514 22.602 101.118    1970
  59          116 793.2   9.8 84   3.7   2.2      2058   7.3 8.11 210   4.3     18     522 22.602 101.118    1976
  60          118 792.7   9.8 84   3.7   2.2      2063   7.2 8.09 211   4.3     18     530 22.603 101.118    1983
  61          120 792.2   9.8 84   3.7   2.3      2068   7.2 8.05 212   4.3     18     538 22.603 101.118    1988
  62          122 791.8   9.8 83   3.7   2.3      2072   7.1 8.00 212   4.4     18     547 22.603 101.118    1989
  63          124 791.4   9.8 82   3.7   2.4      2077   6.9 7.93 213   4.4     18     556 22.603 101.118    1992
  64          126 790.9   9.8 82   3.7   2.4      2081   6.8 7.89 213   4.4     18     565 22.603 101.118    1999
  65          128 790.5   9.8 82   3.7   2.5      2086   6.8 7.87 214   4.5     19     575 22.603 101.118    2005
  66          130 790.0   9.8 81   3.7   2.5      2092   6.8 7.84 215   4.5     19     584 22.603 101.118    2009
  67          132 789.5   9.7 81   3.7   2.6      2097   6.7 7.81 215   4.5     19     592 22.603 101.118    2016
  68          134 789.0   9.7 81   3.7   2.7      2102   6.6 7.78 216   4.6     19     601 22.603 101.118    2020
  69          136 788.5   9.7 81   3.7   2.7      2107   6.6 7.75 216   4.6     20     610 22.603 101.119    2023
  70          138 788.1   9.6 80   3.7   2.8      2111   6.4 7.69 217   4.6     20     619 22.603 101.119    2029
  71          140 787.7   9.6 80   3.8   2.8      2116   6.3 7.62 217   4.7     20     628 22.603 101.119    2037
  72          142 787.2   9.6 80   3.8   2.9      2121   6.3 7.62 217   4.7     21     639 22.603 101.119    2045
  73          144 786.7   9.5 80   3.8   2.9      2126   6.3 7.63 218   4.8     21     648 22.603 101.119    2053
  74          146 786.2   9.5 80   3.8   3.0      2131   6.2 7.60 218   4.9     21     657 22.604 101.119    2060
  75          148 785.7   9.5 80   3.9   3.0      2137   6.2 7.56 218   4.9     21     666 22.604 101.119    2063
  76          150 785.2   9.4 79   3.9   3.1      2142   6.0 7.48 219   5.0     21     675 22.604 101.119    2065
  77          152 784.7   9.4 79   3.9   3.1      2147   5.9 7.41 219   5.0     22     683 22.604 101.119    2070
  78          154 784.2   9.3 79   3.9   3.2      2152   5.9 7.46 219   5.1     22     692 22.604 101.119    2075
  79          156 783.7   9.3 80   4.0   3.2      2158   6.0 7.47 219   5.1     22     702 22.604 101.119    2080
  80          158 783.2   9.2 80   4.0   3.3      2163   6.0 7.48 220   5.2     22     712 22.604 101.119    2085
  81          160 782.7   9.2 81   4.0   3.3      2169   6.0 7.51 220   5.2     23     723 22.604 101.119    2091
  82          162 782.1   9.1 81   4.0   3.4      2174   6.1 7.54 220   5.2     23     736 22.604 101.119    2097
  83          164 781.6   9.1 82   4.0   3.5      2180   6.1 7.57 221   5.3     23     746 22.604 101.119    2102
  84          166 781.1   9.0 82   4.0   3.5      2185   6.1 7.58 221   5.3     23     755 22.604 101.119    2107
  85          168 780.6   9.0 82   4.0   3.6      2191   6.0 7.53 222   5.4     23     766 22.604 101.119    2111
  86          170 780.1   8.9 81   4.0   3.6      2196   5.9 7.49 222   5.4     24     775 22.604 101.120    2113
  87          172 779.6   8.9 82   4.1   3.7      2202   6.0 7.52 222   5.5     24     783 22.604 101.120    2117
  88          174 779.1   8.8 82   4.1   3.8      2207   6.0 7.51 223   5.5     24     794 22.605 101.120    2126
  89          176 778.6   8.8 82   4.1   3.8      2212   5.9 7.48 223   5.6     25     806 22.605 101.120    2134
  90          178 778.1   8.7 83   4.1   3.9      2217   6.0 7.51 224   5.7     25     818 22.605 101.120    2139
  91          180 777.6   8.7 83   4.1   4.0      2223   6.0 7.54 224   5.7     25     829 22.605 101.120    2143
  92          182 777.1   8.6 84   4.1   4.1      2228   6.0 7.56 225   5.8     26     840 22.605 101.120    2149
  93          184 776.6   8.6 84   4.2   4.2      2233   6.1 7.58 225   5.9     26     852 22.605 101.120    2154
  94          186 776.1   8.6 84   4.2   4.2      2238   6.1 7.59 225   5.9     26     863 22.605 101.120    2161
  95          188 775.6   8.6 84   4.2   4.3      2244   6.1 7.59 226   6.0     26     873 22.605 101.120    2167
  96          190 775.1   8.5 84   4.2   4.4      2250   6.0 7.58 226   6.1     27     885 22.605 101.120    2170
